Name,Scholar_ID,Title,Year
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,A comprehensive assessment and review of blockchain integration in online gaming,2024,"This research in Online Gaming examines how blockchain technology and online gaming are convergent, with a particular emphasis on the platform known as “Blocks Gaming.” This research attempts to understand how Blocks Gaming addresses the fundamental problems that players encounter in today’s digital world and look into how blockchain is impacting the online gaming industry.This paper aims to achieve multiple objectives: it will examine the technological foundations of Blocks Gaming, analyse the problems that contemporary gamers face in detail, explore the key features of the platform, and project the company’s future plans. Further, this research aims to shed light on the revolutionary potential of blockchain technology in online gaming. We navigate a fragmented gaming landscape during the process, where users find it difficult to manage multiple accounts across multiple platforms. We investigate the …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Attack detection in internet of things: A systematic literature review,2022,"As the frequency of security breaches continues to rise, cybersecurity remains a critical concern for every industry in the online. Thousands of zeroday attacks are known to emerge on a regular basis as a consequence of the integration of multiple protocols, primarily from the Internet of Things (IoT). The majority of such attacks are minor variants on previous research findings intrusions. This suggests that even sophisticated techniques like typical machine learning (ML) algorithms have difficulties spotting these tiny kinds of attacks over time. These attacks are called as DDoS attack; they are used to prevent clients from accessing a server or website. DDoS attacks have been employed by cybercriminals to bring down targeted servers and breach venture networks with the ability to overwhelm results. Because of the growing volume and complexity of DDoS attacks, many organizations are having difficulty handling …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Ensemble of Tree Classifiers for Improved DDoS Attack Detection in the Internet of Things.,2024,"IoT networks are made up of devices that have few computer resources, like less battery life, less processing power, less memory, and most importantly, minimum security, defense mechanisms, and infrastructure to protect them. As the number of IoT devices are growing fast, we can't ignore the impact of large-scale DDoS attacks that come from IoT devices. Artificial intelligence, including Deep Learning and machine learning (ML), is critical in the categorization and detection of DDoS attacks in the Internet of Things. We hope to contribute to current research by enhancing the efficiency with which Intrusion Detection Systems (IDS) identify DDoS attacks. This research paper focuses on exploring the effectiveness of tree-based classifiers and ensemble classifiers. The ensemble approaches used are voting and Stacking with a particular focus on Step Forward Feature Selection and average feature importance …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,IoT-based predictive maintenance using AI/ML: A systematic review,2024,"This paper presents the research on Improvement in OEE for manufacturing industries. The Industrial Revolution was an era of significant technological advancement which begun in the 18th century and transformed the way that goods were produced. The introduction of steam power, mechanization, and mass production led to increased efficiency and productivity, but also had significant social and environmental impacts. Today, we are experiencing another transformation in the way that goods are produced, and services are delivered through the Industrial Internet of Things (IIoT). IIoT combines traditional industrial processes with modern technology such as sensors, data analytics, and machine learning to optimize and automate processes. Like the Industrial Revolution, IIoT is transforming the way that goods are produced, but with some significant differences. The primary focus of IIoT is not just to increase …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Image security enhancement on cloud storage using AES algorithm,2023,"Image Security is playing a significant role in the field of communication system and Internet. Cryptography is initially developed to protect the interaction between two parties known as sender and receiver in the presence of malicious third parties called as attackers by using the process known as encryption. The given algorithm transforms the plain image into cipher image if the same key is used. The encryption is done by using various algorithm, transformation and many more techniques to secure the image. This article presents a novel image encryption technique. This AES algorithm is incredibly reliable and helps to maintain images safe from malicious attack. The sender has an image, and this image is split into several segments. After the encryption and decryption, the receiver merges those images. In the proposed system, keys will generate manually. This research paper presents an effective method for …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Vibrational analysis of bicycle chassis,2016,"It is important to recognize that the design of any machine is an interdisciplinary process, involving aerodynamics, thermodynamics, fluid dynamics, stress analysis, vibration analysis, the selection of materials, and the requirements for manufacturing. The operation of any mechanical system will always produce some vibration. Our goal is to minimize the effect of these vibrations, because while it is undesirable, vibration is unavoidable. The result of excess vibration can vary from nuisance disturbance to a catastrophic failure. Bicycle chassis is a major component in a system. This work involves vibration analysis to determine the key characteristics of a bicycle chassis. The dynamic characteristics of bicycle chassis such as the natural frequency and mode shape were determined by using finite element (FE) method. Al material will replace the conventional MS material. Experimental modal analysis was carried out to validate the FE models. Predicted natural frequency and mode shape were validated against the experimental results. Finally, the modification of the updated FE bicycle chassis model was proposed to reduce the vibration, improve the strength and optimize the weight of the bicycle chassis. Tools used are catiaV5 for 3D modelling, Hypermesh for meshing, and Ansys for post processing."
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Implementation of QOS in SDN and Distributed Networks for mitigation of DDOS based attacks using Machine Learning,2024,"Distributed Denial Service of Service (DDoS) is very sophisticated attack which brute-force packet jamming to a network to render it useless, if done with large number of nodes. It can be easily countered by a number of techniques such as load balancing, rate limiting and many newer intelligent systems techniques but attackers are continuously developing new techniques to circumvent traditional defense mechanisms. The Sophistication of the attack is determined by current defenses in place and duration of attack. The use of DDoS attack is done on distributed Network traffic by an attacker which might send more traffic than a network card can handle or overwhelm an application with more requests than it can process which might led to not able to add legitimate user to the application With coming of Web 3.0 the DDoS attack grown exponentially , So we are proposing a Machine Learning based traffic filtering …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Critical Feature Selection (CFS) techniques for early DDoS attack detection in the internet of things environment,2023,"The introduction of the heterogeneous IoT with the distributed denial of service (DDoS) attack is one of the severe security risk that has arisen in the digital world. The severe impact of these massive DDoS attacks has been demonstrated repeatedly by crippling various infrastructures, leading to major losses and compromising the overall accessibility of the digital world. Thus, addressing the risks associated with DDoS attacks has become a critical priority to mitigate their impact on the HetIoT infrastructure. The primary objectives of network security are to secure the sensitive data for the inherent application and to shield the information broadcasted over a network. We, therefore, propose implementation of Critical Feature Selection Technique for Early DDoS Attack detection in the IoT environment. The methods employed for feature selection are Pearson Correlation Coefficient, Information Gain, Random Forest …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Integrating Automation and Orchestration in Security Incident Handling: A Review of SOAR Frameworks and Platforms,2024,"Traditional manual incident response procedures are no longer sufficient in today’s fast-paced digital environment due to the increasing complexity and frequency of cyber-attacks. Machine learning, automation, and orchestration are all combined in Security Orchestration, Automation, and Response (SOAR) platforms, which have become a potent tool for streamlining and improving incident response processes. In order to automate critical cybersecurity tasks, such as data collecting and analysis and real-time reaction execution, this review paper examines how SOAR systems help. Organizations can gather and compile data from several sources, analyze incidents with sophisticated algorithms, and carry out standardized responses with customizable playbooks by utilizing SOAR systems, which integrate a variety of security solutions. Organizations can improve overall security posture, eliminate human error, and …"
Dr. Kishor Rambhau Kolhe,qhOPZi4AAAAJ,Design and analysis of fabrication threat management in peer-to-peer collaborative location privacy,2021,"Information security reports four types of basic attacks on information. One of the attacks is named as fabrication. Even though mobile devices and applications are showing its maturity in terms of performance, security and ubiquity, location-based applications still faces challenges of quality of service, privacy, integrity, authentication among mobile devices and hence mobile users associated with the devices. There is always a continued fear as how location information of users or IoT appliances is used by third party LB Service providers. Even adversary or malicious attackers get hold of location information in transit or fraudulently hold this information. In this paper, location information fabrication scenarios are presented after knowing basic model of information attacks. Peer-to-Peer broadcast model of location privacy is proposed. This document contains introduction to fabrication, solutions to such threats, management of fabrication mitigation in collaborative or peer to peer location privacy and its cost analysis. There are various infrastructure components in Location Based Services such as Governance Server, Point of interest POI repository, POI service, End users, Intruders etc. Various algorithms are presented and analyzed for fabrication management, integrity, and authentication. Moreover, anti-fabrication mechanism is devised in the presence of trust. Over cost analysis is done for anti-fabrication management due to nature of various cryptographic combinations."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,A review on an obstacle detection in navigation of visually impaired,2013,"Vision is a beautiful gift to human beings by GOD. Vision allows people to perceive and understand the surrounding world. However a World Health Organisation survey made in 2010, estimated 285.389 million people with visual impairment across the globe. These visually impaired people face the problems of orientation and mobility in an unknown environment. Many efforts have been made to improve their mobility by use of technology. For doing so, a virtual vision is offered using digital image processing."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Microstrip patch antenna with DGS for Bluetooth application,2017,"A Compact Microstrip Patch Antenna With Defected Ground Structure (DGS) is proposed for Wirless Applications (Bluetooth). By Inserting E shaped Slot in the gnd of patch to enhance the bandwidth of antenna. Results show that an excellent Bandwidth is achieved with DGS, besides reduction in the antenna size by applying DGS concept. Higher bandwidth is achieved by DGS techniques with adding E shaped Slot to gnd of radiating patch. The different shapes U, I, T & E etc in gnd of patch antenna is analysed to design broadband antenna. This compact antenna fed by insert microstrip feeding to edge of patch. The proposed antenna exhibits a much higher impedance bandwidth (2.38-2.53 GHz) of about 150MHz and also yields return loss better than− 15 dB in the useful range of Bluetooth application. It has been found that this antenna offers higher bandwidth with good radiation properties required for Wireless applications. The proposed antenna possesses a gain of 2.56 dB with the overall size is 60mm* 60mm* 1.6 mm."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,A real-time color-based object tracking and occlusion handling using ARM cortex-A7,2015,"In computer vision application object tracking is a challenging problem. Illumination and occlusion are major constraints observed in object tracking. We are focusing on object tracking with partial or full occlusion. Object tracking is done using features like colors and contours. We have proposed a robust Color-based algorithm to track the object and handle occlusion in real time domain. In our algorithm, HSV color model is used and HSV range of the color object to be tracked is selected. Required object area is identified and contour is formed accordingly to track the object. Proposed algorithm is implemented on ARM Cortex-A7 using Open Source Computer Vision (OpenCV) and Linux-embedded platform. The experiment is done using generated real life database and standard unusual crowd activity database. Results showed run time performance, efficiency and accuracy in real time environment."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Survey on designing of electric vehicle instrument cluster,2018,"Conventional vehicles has been responsible for increasing the pollution levels in entire world. Analysis of climate data has shown that formally stable glaciers have begun to melt which causes rise in sea-level and puts cities near coastline to greater risk of flooding. An environment-friendly substitute for gasoline vehicles is electric vehicles which runs through battery. As some of the control units of electric vehicles vary from gasoline vehicles, instrument cluster development for electric vehicle needs different techniques. There are embedded development boards and microcontrollers developed specifically to serve automobile applications. Also there exists software to develop graphical user interface which can run in embedded boards. This survey paper enlists various techniques in terms of hardware and software which can be implemented to design a digital instrument cluster for electric vehicles."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Design of a Microstrip Patch Antenna as a Moisture Sensor,2019,"Determining moisture content correctly in different materials or grains is the need of various industries today. Various techniques are suggested in the literature for sensing moisture contents of different materials. Horn antenna and microstrip antenna are the most commonly used antennas for finding moisture content, because of the noncontact type of measurement of moisture present in the sample. The microwave measuring technique offers a very exact and reliable measurement of the concentration of moisture. In the proposed system microstrip patch antenna at 900 MHz resonant frequency is designed and different materials like sodium carbonate, borax, potassium chloride, and lactose are tested for moisture content. For the fixed quantity of the sample, water content is gradually increased and return loss is measured. It is observed that with the increase in moisture content, return loss decreases."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,A Review on Smart Campus using IoT,2017,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Object Tracking Using Embedded Platform for Video Surveillance,2015,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,An Algorithm to Estimate Obstacle  Distance for Assistive System of Visually Impaired,2019,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Analysis of region based stereo matching algorithms,2014,"Stereo Vision has created an impact on research in the area of computer vision system. It has many applications like 3D scene reconstruction, mobile robotics to detect obstacles, surgical robotics, etc. This paper focuses on various region based algorithms for stereo vision. They are used for generating disparity map. This disparity map is used to find out the distance of the objects in the images from camera. The researchers have implemented these algorithms and their results are compared on the basis of window size and time complexity."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Moisture sensor using microstrip patch antenna,2022,"Analyzing the moisture level of the material is one of the crucial parameters in industries such as the production of sugar, cereal grains, food packaging, etc. Investigation of moisture content in any material is important as it will affect its quality. Moisture measurement is carried out in this work, taking sugar as an example. For this, a rectangular patch antenna is designed at 2.4 GHz frequency. The main reason behind the popularity of Microstrip patch antennas in wireless applications is their low profile structure. Backscatter characteristics of the microstrip antenna are sensitive to medium and therefore they are used to measure moisture content. The percentage of moisture in Sugar and Calcium Chloride is measured for different concentrations. Simulation of the antenna is done using HFSS and return loss is measured using Vector Network Analyzer to analyze moisture contents. Very promising results are obtained …"
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Online detection of subclinical mastitis using electrical conductivity,2017,"Bovine mastitis of a cow causes a huge loss of milk in dairy industries. These losses result in decreased yield of milk products such as cheese, curd. Early detection can lead to complete remedy. There are two types of mastitis: subclinical mastitis and clinical mastitis. Subclinical mastitis is challenging because we cannot see any visible changes by naked eye in the milk or the udder. General detection method for subclinical mastitis is counting somatic cells in milk. The aim of our work is to develop cost-effective solution for early detection of subclinical mastitis. This paper contains method for online detection of subclinical mastitis. Mastitis detection is done by checking electrical conductivity of milk analyzing conductivity with standard reading. Using Internet of Things (IoT), data will be stored and used for diagnosis of mastitis and related treatment will be given to cow."
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Embedded System Design for 3-phase BLDC motor,2022,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,MIMO Model Development of the Navigational System of an Underwater   ROV,2022,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Development of Prototype for Obstacle Detection for Visually Impaired using Defocus Measure,2020,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Classes of Gensets & Controller Designed for Genset Security,2019,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,SURVEY ON GENSETS & GUIDE FOR GENSET PROTECTION,2019,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,AUTOMATED PROGRESSED SILO PROCESS INTEGRATED WITH PLC AND SCADA,2019,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,HARMFUL MATERIAL DISPOSAL SYSTEM,2018,The paper intends to propose a system that will help the personnel in areas deemed dangerous and lifethreatening to eliminate any harmful material that they encounter. The system proposed will be mounted on an unmanned vehicle that will be controlled through a Graphical User Interface (GUI). The system will have a water-jet cutting mechanism that will help to dispose off hazardous and lifethreatening substances. A Global Positioning Sensor (GPS) will help in the localization of the entire system. The system can be further improved by interfacing additional sensors.
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,"A Survey on Abnormality Extraction Detector in Crowd”,",2017,
Dr. Pooja Pravin Gundewar,jGiXIiMAAAAJ,Overlapped Fingerprint Separation for Fingerprint Authentication,2017,
Dr. Deepak Kumar,gYhInD0AAAAJ,Flow around a diamond-section cylinder at low Reynolds numbers,2021,"The steady separated flow past a diamond cylinder at low Reynolds numbers, Re, is associated with diverse separation topologies not resolved for a circular or square cylinder. The present study, conducted for R e≤ 150⁠, also uncovers three unique separation topologies for the time-averaged flow. In this regard, the most striking observation is the formation of a small sub-wake around the base of the cylinder at certain Re between 80 and 90. While two of these structures were previously captured by some recent studies, these studies did not investigate their origin or kinematics. In the present study, conducted via stabilized finite-element computations in two-dimensions, these wake topologies are analyzed in detail. For secondary separation, the pressure at the reattachment point on the cylinder rear surface exceeds the pressure at the corresponding separation point located upstream. In a similar manner, for …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Flow-induced vibrations of a pair of in-line square cylinders,2021,"Flow-induced bidirectional vibrations of two in-line square cylinders of same size and mass ratio (⁠= 10⁠) are analyzed at Reynolds number, Re= 100. The cylinders are located in the co-shedding regime, ie, they are separated by a normalized center-to-center spacing of 5. The reduced speed, U*⁠, is varied from 3 to 15 keeping Re constant. The upstream and downstream cylinders display identical frequency characteristics with U*⁠. Accordingly, the cylinders share identical decomposition of dynamic response. The response is composed of the desynchronization regimes and lower branch; an initial branch does not exist. The vibrations are hysteretic at the lock-in boundaries whereas for a single square oscillator, hysteresis is identified only near the onset of lock-in. Hysteresis in the solutions for U*= 7 within the lower branch is reflected in the wake mode of the rear cylinder whereas for the upstream cylinder …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Steady separated flow around a pair of identical square cylinders in tandem array at low Reynolds numbers,2019,"The steady separated flow past two identical square cylinders in tandem arrangement is studied numerically. For a Reynolds number of 40, flow features are investigated for varied centre-to-centre distance, S between cylinders. The range of normalized spacing, S D is 2–30 where D denotes edge length of cylinders. Based on separation topology, four distinct flow regimes are identified. In regime I, the cylinders are closely spaced and gap between the cylinders is occupied by a pair of eddies and no wake forms behind the upstream cylinder. In regimes I and II, the cylinders are bridged by zero streamlines enveloping the gap flow. Thus, the cylinders along with the enclosed fluid, act as a single obstacle. Regime II forms as a manifestation of the first bifurcation of flow; the twin eddies in the gap split into four vortices. In regime III, the second bifurcation of flow occurs. The gap recirculation with four eddies splits; the first …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Modification of response and suppression of vortex-shedding in vortex-induced vibrations of an elliptic cylinder,2018,"Numerical experiments are performed at a Reynolds number, Re of 100 to explore in two-dimensions, the undamped, transverse-only vortex-induced vibrations of a rigid elliptic cylinder of aspect ratio 0.5. With major axis oriented parallel to the flow, the cylinder behaves as a streamlined object. The mass ratio of the oscillator is 10. Re is based on the length of the major axis. The reduced speed, U* is varied from 1 to 8. The lock-in initiates at U*= 3.5 and is soft in nature. The extent of lock-in gets severely truncated as compared to the one for a bluff oscillator; it spans just over an extremely narrow U* range of 3.5 to 4.2. The onset and closure of lock-in are marked with the oscillation frequency attaining its maximum and minimum, respectively. Streamlining of oscillator eliminates the whole of initial, quasi-periodic lower and desynchronization components of response. The response consists of a fragile periodic lower …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Undamped transverse-only VIV of a diamond cylinder at low Reynolds numbers,2020,"There have been only a few investigations lately to analyze the flow-induced vibrations of a diamond cylinder, ie a square cylinder inclined at 45∘ to the free-stream at low and high Reynolds numbers, R e. However, for transverse vortex-induced motions of diamond cylinders at low R e, features of response branching, mean surface pressure, wake modes and fluid loading are less explored. We investigate numerically at R e= 100, undamped hydroelastic vortex-induced vibrations of a diamond cylinder over a well-resolved U∗ range of 1 to 12. The order of magnitude of the maximum response as well as branching of response of the diamond oscillator are analogous to those of the circular cylinder and depart considerably from the ones of a square cylinder at zero incidence. Interestingly, the mean lift from this nominally symmetric cross-section deviates from zero at U∗ values of 3.5 and 4.2 corresponding to the …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Vortex-induced vibrations of tandem diamond cylinders: A novel lock-in behavior,2023,"This paper presents a comprehensive numerical investigation of the undamped, simultaneous in-line, and transverse flow-induced vibrations of two identical diamond cylinders (of cross-stream length D) in a tandem arrangement at a low Reynolds number (= 100) in uniform flow, using a stabilized space–time finite-element formulation. The study focuses on the effects of cylinder proximity and shape, considering diamond cylinders with a mass ratio of 10 and a separation distance of 5 D and varying the reduced velocity from 1 to 20. The results reveal distinct lock-in behavior for the upstream and downstream cylinders, with a low-frequency extended lock-in phenomenon observed for the downstream cylinder. The motion trajectories of both cylinders exhibit a distinctive “raindrop-shaped” pattern. Notably, the synchronization zone shows a non-zero mean lift for a narrow range of reduced velocity. The study also …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Identification of response branches for oscillators with curved and straight contours executing VIV,2018,"For oscillators with curved contours, variation of cylinder amplitude with Reynolds number or reduced speed is adequate to accurately identify the extent of resonance branches and critical points marking the transition from one branch to another. However, in presence of straight edges in body contour, the response curve at certain locations of transition, exhibits smooth variation. The same is seen with smooth contoured oscillators of low mass ratio, i.e. value of mass ratio being close to unity. The frequency curves, in contrast, reflect all the transitions that are not captured in the response variation. A simple method is proposed to accurately predict the branching and associated transition points with the aid of oscillation and shedding frequency curves. It is noted that the frequency profile undergoes a change of slope at the location of a transition. Using the proposed method, branching is analyzed for elliptic, square …"
Dr. Deepak Kumar,gYhInD0AAAAJ,Understanding the secondary separation from an inclined square cylinder with sharp and rounded trailing edges,2019,"The steady separated flow past a square cylinder at 45 incidence and having a sharp/rounded base is a unique kind of separated flow around a symmetric bluff obstacle. At low Reynolds numbers (Re≈ 6–8), this flow displays diverse features that are not known to be displayed by common symmetric bluff bodies, such as circular/square cylinders at zero incidence. The uniqueness of this flow was first highlighted by Kumar et al.[“Steady separation of flow from an inclined square cylinder with sharp and rounded base,” Comput. Fluids 171, 29–40 (2018)] in their recent numerical investigation concerning the onset of initial separation. They reported detailed flow kinematics resulting from separation of the laminar boundary layer via secondary mode, primary mode, and their combination. In this work, based on stabilized finite-element computations, the fluid dynamic aspects of primary and secondary separation are …"
