Name,Profile_URL,Designation,Bio,Research_Areas,Publications,Google_Scholar,ORCID,Scopus
Mrs. Apurva Sharma,https://mitwpu.edu.in/faculty/apurva-sharma,Assistant Professor,"Apurva Sharma is an Assistant Professor at Dr. Vishwanath Karad MIT World Peace University. She has previously worked at Central University of Haryana and Zeal College of Engineering, SPPU as an Assistant Professor. She has four years of prior teaching and research experience. She has qualified the intensely competitive UGC NET and NET-JRF examination in Computer Sciences. She has qualified the prestigious GATE held by IIT twice. She is also HTET qualified. Her research areas are Social Network Analysis, Link Prediction in complex networks and Machine Learning. She already has four indexed publications in reputed journals and conferences.",,,,,
Dr. Rajkumar Damodar Komati,https://mitwpu.edu.in/faculty/rajkumar-damodar-komati,Assistant Professor,"Rajkumar Damodar Komati is an Assistant Professor at the School of Electronics and Communication Engineering (ECE), with a teaching experience of over 22 years and 2 years of industry experience. He completed his ME(Electronics) in 2005 and is currently pursuing his PhD from SPPU Pune. His subjects of interest include Basic Electronics, Digital Electronics, Digital VLSI design, Biomedical Electronics, and Image and Video processing, with a particular focus on the latter.",Image and Video processing,"1. Komati, Rajkumar; Nagmode, Manoj, Comparative Study of Motion Amplification Techniques for Video Sequences, Int. J. Future Gener. Commun. Netw, vol. 13, pp. 1203-1211, 2020. 2. Marne, NS; Nagmode, MS; Komati, RD, Vibration measurement system with accelerometer sensor based on ARM, International Journal of Emerging Technology and Advanced Engineering, vol. 4, no. 4, pp. 760-764, 2014, Citeseer. 3. Rakhonde, Mahesh A; Khoje, SA; Komati, RD, Vehicle collision detection and avoidance with pollution monitoring system using IoT, IEEE Global Conference on Wireless Computing and Networking (GCWCN), pp. 75-79, 2018, IEEE. 4. Soni, Nitesh S; Nagmode, Manoj S; Komati, Rajkumar D; Online hand gesture recognition & classification for deaf & dumb2016 International Conference on Inventive Computation Technologies (ICICT)3450172016 5. Rajkumar Komati, Soham Aserkar, Lulua rakla, Shruti Shah, Maintenance of Automobiles by Predicting System Fault Severity Using Machine Learning, 2nd International Conference on Sustainable Networks and Applications (ICSCN 2020), 2020 6. Mr. Rajkumar D. Komati, Aditya Kolekar, Kunal Kasbekar, Ms. Avanti Godbole, Design and Implementation of 16 bit RISC Processor on FPGA, International Journal of Creative Research Thoughts (IJCRT), vol. 8, no. 6, pp. 424-428, 2020.",Google Scholar link : https://scholar.google.com/citations?user=KoLSJg0AAAAJ&hl=en,ORCID link : https://orcid.org/0000-0003-2861-2036,Scopus link : https://www.scopus.com/results/authorNamesList.uri?st1=komati&st2=Rajkumar&origin=searchauthorlookup
Dr. Vijayapandi Pandy,https://mitwpu.edu.in/faculty/vijayapandi-pandy,Associate Professor,"Associate Prof. Dr. Vijayapandi Pandy is an experienced academician and researcher working in the School of Pharmacy at MIT World Peace University in Pune, Maharashtra, India. He completed his B.Pharm with first-class honors in 1997 and M.Pharm (Pharmacology) with the first rank from SCS College of Pharmacy, Harapanahalli, Karnataka, India, in 2000. Dr. Pandy obtained his Ph.D. in psychopharmacology from the prestigious Birla Institute of Technology and Science, Pilani (BITS-Pilani), India. Dr. Pandy's primary research interests are in the psychopharmacological evaluation of psychoactive natural products for novel drug discovery in the treatment of nicotine dependence and withdrawal using animal models. He is a life member of several professional bodies, including the Tamil Nadu Pharmacy Council, Indian Pharmacological Society, Laboratory Animal Scientist's Association (LASA, INDIA), Association of Pharmaceutical Teachers of India (APTI), and Indian Pharmacy Graduate Association. Dr. Pandy has over 20 years of experience in teaching and research, having worked in India, Malaysia, Libya, and Ethiopia. He has published over 65 research and review articles in peer-reviewed journals and is a reviewer for various national and international journals. He has also received research grants such as BKP, UMRG, and HIR-MOHE, Malaysia, and recently completed a research project (CRG/2023/005830/BHS; Sanctioned amount Rs 34 lakhs) as PI from DST-SERB, India in November 2022. He was awarded the Mahatma Gandhi Samman Award from the NRI Welfare Society in Bangkok, Thailand, on 27 May 2017. Dr. Pandy has successfully supervised six Ph.D. and twelve M.Pharm research projects and is currently supervising one Ph.D. and two M.Pharm projects. His expertise and contributions to the field make him a valuable member of the academic and research community.""","Neuropsychopharmacology, Substance abuse, Neuropsychiatric diseases, Animal Models and alternative to animal models","1. Pandy V*, Shaik BR, Chunduru D, Munnangi D (2022). In vitro Acetylcholinesterase Inhibitory Activity of Different Capsicum Varieties by using Chicken Brain Extract Prepared by Employing a Home Mixer-jar as an Alternative to Expensive Tissue Homogenizer. Indian J of Pharmaceutical Education and Research, 2022; 56(3): 810-815. https://doi.org/ 10.5530/ijper.56.3.132 (SCI Impact factor: 0.843). 2. Pandy V*, Khan Y, Yarlagadda DP, Tatinada SP (2021). Morinda citrifolia Linn. fruit extract mitigates heroin-seeking behavior in mice. Acta Neurobiologiae Experimentalis 81 (4), 328-334. https://pubmed.ncbi.nlm.nih.gov/35014982/ (SCI Impact factor: 1.579). 3. Vijeepallam K, Pandy V*, Murugan DD, Naidu M (2019). Methanolic extract of Mitragyna speciosa Korth leaf inhibits ethanol seeking behaviour in mice: involvement of antidopaminergic mechanism. Metabolic Brain Disease34:1713–1722. https://doi.org/10.1007/s11011-019-00477-2 (SCI Impact factor: 2.411) [This paper got a citation from World Health Organization. (2022). WHO Expert Committee on Drug Dependence: forty-fourth report. https://www.who.int/publications/i/item/9789240042834]. 4. Pandy V*, Wai YC, Roslan NFA, Sajat A, Jallb AHA, and Vijeepallam K (2018), Methanolic extract of Morinda citrifolia Linn. unripe fruit attenuates methamphetamine-induced conditioned place preferences in mice. Biomedicine & Pharmacotherapy 107: 368-373. https://doi.org/10.1016/j.biopha.2018.08.008 (SCI Impact factor: 3.457). 5. Andy SN, Pandy V*, Alias Z, Kadir HA (2018). Deoxyelephantopin ameliorates lipopolysaccharides (LPS)-induced memory impairments in rats: Evidence for its anti-neuroinflammatory properties. Life Sciences 206: 45-60. https://doi.org/10.1016/j.lfs.2018.05.035(SCI Impact factor: 3.234). 6. Ranjithkumar C, Pandy V*, Mohamed Z (2018). Alpha-asarone attenuates depression-like behavior in nicotine-withdrawn mice: Evidence for the modulation of hippocampal pCREB levels during nicotine-withdrawal. European Journal of Pharmacology 818: 10-16. https://doi.org/10.1016/j.ejphar.2017.10.025. (SCI Impact factor: 3.040). Completed 1. Title: “Novel Drug Discovery from Natural Products for the Treatment of Alcohol Dependence and Withdrawal.” Principal Investigator: Prof. Dr. Vijayapandi Pandy, Dept. of Pharmacology, Chalapathi Institute of Pharmaceutical Sciences (AUTONOMOUS), Chalapathi Nagar, Lam, Guntur. Co-Investigators: Prof. Dr. Nadendla Rama Rao & Assoc Prof. Dr. STV Raghavamma, Chalapathi Institute of Pharmaceutical Sciences (AUTONOMOUS), Chalapathi Nagar, Lam, Guntur. Start Date: 08-11-19; Amount Sanctioned: Rs 33,99,400 Source of Research Grant: SCIENCE & ENGINEERING RESEARCH BOARD (SERB), Government of India Project No. CRG/2018/000813 Duration of the study: Three years (08/11/2019 to 07/11/2022). 2. Title: “Evaluation of neuroanatomical and neuropharmacological effects of Hericium erinaceus and Lignosus rhinocerotis medicinal mushrooms in the mammalian nervous system.” Principal Investigator: Prof Dr. Murali Naidu, Dept. of Anatomy, UM Co-Investigators: Assoc. Prof. Dr. Vijayapandi Pandy, Prof. S. Vikineswary Sabaratnam, Dr. Rosie Pamela Shashikala a/p David Date of Approval: 04-04-17; Amount Sanctioned: RM 119500 (RM-Ringgit Malaysia) Source of Research Grant: FRGS 2017-1 Project No. FRGS/1/2017/SKK08/UM/01/12 Duration of the study: 02/08/2017 to 01/08/2019 3. Title: “Evaluation of the Therapeutic Potential of Mitragyna speciosa for the Treatment of Alcohol Dependence Using Mouse Models.” Principal Investigator: Assoc. Prof. Dr. Vijayapandi Pandy Co-Investigators: Prof Dr. Murali Naidu, Dept. of Anatomy, UM Date of Approval: 04-04-17; Amount Sanctioned: RM 24,000 Source of Research Grant: BANTUAN KHAS PENYELlDIKAN (BKP) PROJECT APPLICATION PHASE 2017 Project No. BKS051-2017 Duration of the study: 10/04/2017 to 09/04/2018 4. Title: “Neuropsychopharmacological Studies on Mitragyna speciosa using Experimental Animal Models.” Principal Investigator: Assoc. Prof. Dr. Vijayapandi Pandy Co-Investigators: Ms. Kamini Vijeepallam, Dept. of Pharmacology, UM Date of Approval: 11-04-16; Amount Sanctioned: RM 8,000 Source of Research Grant: Postgraduate Research Grant (PPP) - Research Project No. PG232-2015B Duration of the study: 11/04/2016 to 11/04/2018 5. Title: “Elucidating the Molecular Mechanisms Involved in the Therapeutic Potential of alpha-asarone on Nicotine Withdrawal-induced Depression-like Behaviour in Mice” Principal Investigator: Assoc. Prof. Dr. Vijayapandi Pandy Co-Investigators: Mr. Ranjith Kumar Chellian, Dept. of Pharmacology, UM Date of Approval: 20-10-15; Amount Sanctioned: RM 27,000 Source of Research Grant: Postgraduate Research Grant (PPP) - Research Project No. PG008-2015A Duration of the study: 20/10/2015 to 20/10/2018",Google Scholar link :https://scholar.google.com/citations?hl=en&user=QCRlCDgAAAAJ,ORCID link :https://orcid.org/0000-0002-0524-4800,Scopus link :http://www.scopus.com/inward/authorDetails.url?authorID=34873112000&partnerID=MN8TOARS
Mrs. Priyamwada Sachindra Mahajani,https://mitwpu.edu.in/faculty/priyamwada-sachindra-mahajani,Assistant Professor,"Priyamwada Mahajani is an Assistant Professor in the School of Engineering and Technology at MIT World Peace University. She received her Bachelor of Engineering in Electronics and Telecommunication and Master of Engineering in Electronics and Telecommunication from Govt. College of Engineering, Pune, India. Ms. Mahajani's research interests lie in the areas of signal processing and error control coding for communication systems. She is passionate about developing innovative techniques to improve the performance of communication systems, and her research has focused on developing novel signal processing algorithms for communication applications. As an Assistant Professor, Ms. Mahajani is committed to teaching and mentoring students, sharing her knowledge and expertise with the next generation of engineers. Her dedication to her students and her contributions to the field of signal processing make her a valuable member of the academic community.",Signal Processing,"1.Prachi Patel, P.S.Mahajani.”Fetal ECG Separation from Abdominal ECG recordings using Compressive Sensing Approach”, International Conference on Inventive Research in Computing Algorithms (ICIRCA 2018) ,11th July 2018 2. N N Chendulkar, P.S.Mahajani, “Reversible Data Hiding for cloud Based Applications” , IEEE International Conference on Computational Intelligence and Communication Networks (CICN-2015), Dec 12-14, 2015 at Jabalpur, India 3. Vandana Bavkar, P.S.Mahajani ,“Transform Based Robust Digital Watermarking Technique”, IEEE International Conference on Human Computer Interactions (ICHCI’13), 23-24 August 2013 Research Grants BCUD research grant Rs.3 Lakhs for project titled “Implementation of Video Coding Standard for Real Time Application”, duration 2 years for 2012-14.",Google Scholar link :https://scholar.google.com/citations?user=f-7-LjIAAAAJ&hl=en,ORCID link :https://orcid.org/0000-0002-4020-7976?lang=en,Scopus link :https://www.scopus.com/search/form.uri?display=authorLookup#basic
Dr. Rajashri Amit Kadam,https://mitwpu.edu.in/faculty/rajashri-amit-kadam,Associate Professor,"In her current leadership role, Dr. Kadam oversees academic operations for multiple undergraduate and postgraduate programs across the School of Business, including curriculum design, academic planning, evaluation systems, and industry integration. She is actively involved in promoting outcome-based education, NEP-aligned curriculum reforms, and faculty resource planning.",,,,,"Dr. Rajashri Kadam is dedicated Associate Professor in the domain of Marketing and currently handling additional responsibility as the Associate Dean – Academics at the School of Business since January 2022. With over 22 years of combined industry and academic experience, she has been a passionate educator for the past 18 years, known for her interactive and learner- centric pedagogy. Dr. Kadam holds a Ph.D. in Marketing Management and an Executive Diploma in Digital Marketing from IIM Jammu. Her teaching interests include Advertising, Services Marketing, Integrated Marketing Communication, and Strategic Marketing. She has contributed significantly to academic research with publications in reputed national and international journals, Scopus-indexed book chapters, Case studies and numerous conference papers. She has also guided student-led case studies and research publications. She is also a Ph.D. supervisor and certified trainer, with prior experience in consulting and content development. Known for her strong rapport with students and alumni, Dr. Kadam continues to inspire learners with her dynamic teaching, academic leadership, and commitment to educational excellence."
Dr. Aparna Sameer Dixit,https://mitwpu.edu.in/faculty/aparna-sameer-dixit,Associate Professor,"Dr. Aparna Dixit is a dedicated academician with over 25 years of experience in management education, research, and academic leadership. She is an Associate Professor and currently serves as the Program Director at the School of Business, MIT World Peace University, Pune. Her area of specialization is Human Resource Management, and her area of expertise includes Employer Branding, Organizational Behaviour, Training and Development and Strategic Management. Dr. Dixit has held several key positions, including Head of the School of Management (PG). She is an approved Ph.D. guide in the area of Human Resource Management. She has also published numerous research papers in reputed national and international journals. Over the years, Dr. Dixit has contributed extensively to curriculum development, innovative pedagogy, and strategic academic planning.",,,,,
Dr. Anuttama Ghose,https://mitwpu.edu.in/faculty/anuttama-ghose,Assistant Professor,"Research Areas : Intellectual Property Rights, International Law. https://scholar.google.com/citations?user=AEx4610AAAAJ&hl=en",,,Google Scholar Profile :,https://orcid.org/0000-0002-7210-4074,https://www.scopus.com/authid/detail.uri?authorId=57820082600
Dr. Rehan Deshmukh,https://mitwpu.edu.in/faculty/rehan-deshmukh,Assistant Professor,"Dr. Rehan Deshmukh is a Mentor and Assistant Professor at the Dept. of Biosciences and Technology, MIT WPU. He earned his Ph.D. from BITS Pilani in 2020, bolstered by the ICMR Senior Research Fellowship awarded in 2018. During his postdoctoral tenure at IIT Madras, Dr. Rehan worked on the development of an optical assay for amplification-free detection of SARS-CoV-2 using fiber-optic U-bent probes. Dr. Rehan's research spans electrochemical and optical biosensors, with a focus on pathogen detection, disease diagnostics, nanoelectrochemical/optical applications, and surface modifications for sensors. His scholarly output includes 15 publications, a patent, and three book chapters, with key contributions published in Chemical Society Reviews, Bioresource Technology, and Analyst. In addition to his research, Dr. Rehan serves as a reviewer for prestigious journals like PLOS One, Natural Product Research, and Microbial Cell Factories, etc. He is currently editing a special issue on ""Biosensors for Detection of Waterborne Pathogens: Recent Advances and Future Horizons"" for Frontiers in Water Journal. Dr. Rehan’s involvement in industry consultancy projects underscores his commitment to turning research into practical solutions. By collaborating with industry partners, he applies his expertise in biosensors and surface chemistry to address real-world challenges. These projects allow him to directly impact industrial processes, enhance product development, and ensure his research drives tangible innovation beyond academia. Dr. Rehan can be reached at rehan.deshmukh@mitwpu.edu.in for research and collaboration.https://rehandeshmukh.wixsite.com/website",Electrochemical and optical biosensor development for amplification-free detection of bacteria and viruses; Novel approaches for surface functionalization of sensing electrodes; Nanomaterials synthesis; Real-time PCR-based sensing of pathogens; Enzyme technology; Neutraceuticals,"Deshmukh Rehan, Bhand S, and Roy U (2021). A Novel Electrochemical Genosensor for Specific Detection of xanQ Gene in Escherichia coli Strains in Water. Current Analytical Chemistry. (Accepted) Deshmukh Rehan, Chalasani A G, Chattopadhyay D, and Roy, U (2021). Ultrastructural Changes of Methicillin-Resistant Staphylococcus aureus (MRSA) by a Novel Cyclic Peptide ASP-1 from Bacillus subtilis: A Preliminary Insight into its Mechanism of Action. Revista Argentina de Microbiología (in press). Deshmukh Rehan, Sunil Bhand, Utpal Roy (2021). BCIG-SMAC and BCIG-SMAC Medium and PMA-qPCR for Differential Detection of Viable Escherichia coli in Potable Water. Iranian Journal of Microbiology (In press). Deshmukh Rehan, Bhand S, and Roy U. (2019) A novel molecular quantitative method for rapid and sensitive detection of Escherichia coli from roof-harvested rainwater. Analytical Methods, 11: 3155–3167. DOI: https://10.1039/c9ay00587k (cover page article of the journal’s issue). Jagtap S, Deshmukh Rehan, Menon S, and Das S (2017). Xylooligosaccharides production by crude microbial enzymes from agricultural waste without prior treatment and their potential application as nutraceuticals. Bioresource Technology, 245:283-288. DOI: https://10.1016/j.biortech.2017.08.174. Deshmukh Rehan, Joshi K, Bhand S, and Roy U (2016). Recent developments in detection and enumeration of waterborne bacteria: A Retrospective Minireview. MicrobiologyOpen, 5(6):901–922. DOI: https://10.1002/mbo3.383. (in top 10 most cited paper on journal’s home page). Deshmukh Rehan, Jagtap S, Mandal M K, and Mandal S K (2016). Purification, biochemical characterization and structural modelling of alkali-stable β-1,4-xylan xylanohydrolase from Aspergillus fumigatus R1 isolated from soil. BMC Biotechnology, 16:11. DOI: https://10.1186/s12896-016-0242-4. Patents 1. Deshmukh Rehan, Bhand S, and Roy U. A method for rapid isolation of nucleic acid from Gram-negative bacteria. Indian patent application number 201821027800 published on 31/01/2020. (Under revision) 2. Deshmukh Rehan, Bhand S, and Roy U. Polynucleotide sequence for the detection of Escherichia coli. Indian patent application number 202011046287 filed on 19/04/2021. Teaching Experience 3 Yrs Research Experience 3.5 Yrs Linkedin Profile Link https://in.linkedin.com/in/imrehan",,https://orcid.org/0000-0002-0261-102X,https://www.scopus.com/authid/detail.uri?authorId=57190178102
Dr. Vivek Patel,https://mitwpu.edu.in/faculty/vivek-patel,Assistant Professor,"An Assistant Professor in the School of Engineering and Technology, Dr. Vivek Patel's research interests center around nonlinear structural analysis with a particular focus on studying the impact behavior of tubular components in the automobile industry. He is an expert in modeling and simulation of engineering parts using software such as AutoCAD, LS-Dyna, Ansys, and Abaqus. In addition, he has hands-on experience with experimental set-ups such as UTM, Hardness tester, and Ultrasonic assisted casting process. With his technical competency and expertise, he is capable of confirming the statistics of experimental tests with accuracy.","Crashworthiness, Impact analysis, Design, Non-linear analysis, FEA","1. Vivek Patel, Gaurav Tiwari, Ravikumar Dumpala, “Effect of Eccentric loading on energy absorbing Circular Frusta Tube Structures”, Vacuum, Elsevier, 166: 356-363, 2018. https://doi.org/10.1016/j.vacuum.2018.10.056 2. Vivek Patel, Gaurav Tiwari, Ravikumar Dumpala, “Review of the crushing response of collapsible tubular structures”, Frontiers of Mechanical Engineering, Springer, 15(3): 438–474, 2019. https://doi.org/10.1007/s11465-019-0579-1 3. Vivek Patel, Gaurav Tiwari, Ravikumar Dumpala, “Crashworthiness analysis of multi-configuration thin-walled co-axial frusta tube structures under quasi-static loading”, Thin-Walled Structures, Elsevier, 154: 106872, 2020. https://doi.org/10.1016/j.tws.2020.106872 4. Vivek Patel, Gaurav Tiwari, Ravikumar Dumpala, """"Low velocity impact response of layered frusta tube structures"""", Journal of the Brazilian Society of Mechanical Sciences and Engineering, Springer, 44, 43, 2022. https://doi.org/10.1007/s40430-021-03354-1 5. Nikhil Khaire, Gaurav Tiwari, Vivek Patel, M.A. Iqbal, “Assessment of the ballistic response of honeycomb sandwich structures subjected to offset and normal impact”, Defence Technology, Elsevier, 2023. https://doi.org/10.1016/j.dt.2022.12.018 6. Vivek Patel, Gaurav Tiwari, Ravikumar Dumpala, “Effect of cut-outs on the axial crushing response of cap and open-end hybrid frusta tube”, Materials Today: Proceedings, Elsevier, 28: 2539–2546, 2020. https://doi.org/10.1016/j.matpr.2020.05.089.""",Google Scholar link : https://scholar.google.co.in/citations?user=4GH_PecAAAAJ&hl=en,ORCID link :https://orcid.org/0000-0001-5430-7006,Scopus link :https://www.scopus.com/authid/detail.uri?authorId=55942712300
Dr. Sachin Arun Kulkarni,https://mitwpu.edu.in/faculty/sachin-arun-kulkarni,Associate Professor,"Dr. Sachin Kulkarni is an Associate Professor of Physics with a Ph.D. from Rashtrasant Tukdoji Maharaj Nagpur University. He completed his Master's and Bachelor's degrees from North Maharashtra University and has over 20 years of teaching experience in addition to 5 years of industrial experience. Dr. Kulkarni is also the Host and Chairman of the upcoming International Conference on Recent Trends in Physics and Photonics, to be held in June 2022. His research interests focus on the synthesis, characterization, and other allied properties of iron oxide nanoparticles.","Synthesis, characterization and other allied properties of iron oxide nanoparticles. 1.“Effect of synthesis route on the structural, optical and magnetic properties of Fe3O4 nanoparticles”, Ceramics International. 40 (2014) 1945–1949. 2.“Synthesis and Characterization of Superparamagnetic Fe3O4@SiO2 Nanoparticles”, Journal of the Korean Chemical Society. 58 (2014) 1. 3. Low Intensity Pyroelectric Solitons. Frontiers in Optics + Laser Science (FiO/LS), Rochester, New York United States, 17–20 October 2022, ISBN: 978-1-957171-17-32022. 4. Synthesis and magnetic properties of poly (3, 4-ethylenedioxythiophene)(PEDOT)/Fe3O4 composites. IJITR 3, 1925-1929. 5. Antibacterial Performance and Characterization of Superparamagnetic Fe3O4@TiO2 Nanoparticles, International E conference on Physics of Materials and Nanotechnology, IOP Conf. Series: Materials Science and Engineering 1221 (2022) 012049. 6.Temperature effects on soliton pairs in novel photorefractive crystals having both the linear and quadratic electro-optic effects. J. Phys.: Conf. Ser. IOP, 2426 012027, 2426 (2023) 012027,",,Google Scholar link : https://scholar.google.com/citations?user=cNJ_0GwAAAAJ&hl=en,ORCID link : https://orcid.org/0000-0002-9490-1883,Scopus link : https://www.scopus.com/authid/detail.uri?authorId=55934454900
Dr. Asim Samanta,https://mitwpu.edu.in/faculty/asim-samanta,Assistant Professor,"A strategic professional with M. Pharm (Jadavpur University, Kolkata), PhD (National University of Singapore) in Pharmaceutical Technology having nearly 9 years of industrial experience (Johnson & Johnson Pvt. Ltd. (Mumbai) and Encube Ethicals Pvt. Ltd. (Goa) in the field of Pharmaceutical Sciences and Analytical Research Development along with 2 years of Postdoctoral Research experience from Singapore and USA in formulation development. Aspiring to continue contributing and leveraging the acquired skills in the field of Teaching, Research and Development. He has published several research papers and articles in leading international journals and has presented his work at various conferences and seminars.","Novel Drug Delivery System, Analytical Method Development and Validation, Process Analytical Technology (PAT), and Predictive Chemometric Modelling","1. A.K. Samanta, L. Wang, K.Y. Ng, P. W. S. Heng, Energy-based analysis of cone milling process for the comminution of roller compacted flakes. International Journal of Pharmaceutics 462, 108-114, 2014. 2. A.K. Samanta, A.D. Karande, K.Y. Ng, P. W. S. Heng, Application of near infrared (NIR) spectroscopy in real-time monitoring of content uniformity, tensile strength, Young’s modulus and density of undulated roller compacted flakes. AAPS Pharm. Sci. Tech. 14 (1), 86-100, 2013. 3. A.K. Samanta, K.Y. Ng, P. W. S. Heng, Cone milling of compacted flakes: Process parameter selection by adopting the minimal fines approach. International Journal of Pharmaceutics 422 (1-2), 17-23, 2012. 4. P.V. Quyet, A.K. Samanta, C.V. Liew, L.W. Chan, P.W.S. Heng, A prediction model for monitoring ribbed roller compacted ribbons. Journal of Pharmaceutical Sciences 102 (8), 2667-78, 2013. 5. Z.H. Loh, A.K. Samanta, P. W. S. Heng, Overview of milling techniques for improving the solubility of poorly water-soluble drugs. Asian Journal of Pharmaceutical Sciences 10, 255-274, 2015 6. B V Hove, P Kanagale, T Quinten, S Gaiki, K Collignon, Y Swar, J Shah, E Verheyen, F M Preda, A Samanta, E Fernandez, G Caporicci, T Ferreira, W Lequieu, J Masschelein, D Schaufelberger, Development of a New Age-Appropriate, Chewable, Rapidly-Disintegrating Tablet of Mebendazole 500 mg for Preventive Chemotherapy of Soil-Transmitted Helminth Infections in Pre-School and School-Age Children. European Journal of Pharmaceutics and Biopharmaceutics 188 (2023) 217–226 LinkedIn Link https://www.linkedin.com/in/asim-samanta-phd-nus-singapore-ab26109/ https://scholar.google.com/citations?user=TVJ1VWgAAAAJ&hl=en",Google Scholar Link,https://orcid.org/0000-0002-5763-4130,https://www.scopus.com/authid/detail.uri?authorId=55512100100
Mrs. Aparna Virendra Shete,https://mitwpu.edu.in/faculty/aparna-virendra-shete,Assistant Professor,"Prof. Aparna V. Shete is an Assistant Professor in the Department of Civil Engineering at MIT WPU, Pune. She holds a Bachelor's degree in Civil Engineering from MGM, Nanded, and a Master's degree in Civil- Town and Country Planning from the prestigious College of Engineering, Pune in 2010.She has been associated with MIT-WPU since 2014 and has taught various subjects such as Basics of Civil and Environmental Engineering, Applied Mechanics, Surveying, Advanced Surveying, Irrigation Engineering, Building Design and Drawing, Building Information Modelling, and Management Information System. Prof. Shete completed her Ph.D. in Civil Engineering from Savitribai Phule Pune University, specializing in the area of Water Resources Engineering under the guidance of Dr. S. S. Shahapure. Her expertise in the field has earned her life membership of the prestigious Indian Society of Hydraulics (ISH) and the Indian Society of Technical Education (ISTE). Qualification : B.E. Civil, M. Tech Civil (T& CP), Ph. D. Civil Engineering Subjects taught : Basics Civil and Environmental Engineering, Applied Mechanics, Surveying, Advanced Surveying, Irrigation Engineering, Building Design and Drawing, Building Information Modelling and Management Information System. Profile Summary : Assistant Professor, Department of Civil Engineering","Water Resources Engineering, Town planning","1. A. S. Nagure and S. S. Shahapure, “Effect of Watershed Characteristics on a Rainfall Runoff Analysis and Hydrological Model Selection - A review,” 2021 International Conference on Computing, Communication and Green Engineering (CCGE), 2021, pp. 1 - 7, doi: 10.1109/CCGE50943.2021.9776398. 2. Nagure, A. S., and S. S. Shahapure. 2023. “A rainfall-runoff simulation for semi-arid, large-size watershed area: A case study at Manjira River, India.” Water Pract. Technol. 18 (8): 1923–1937. https://doi.org/10.2166/wpt.2023.112. Effect of Watershed Characteristics on a Rainfall Runoff Analysis and Hydrological Model Selection -A review', 2021 International Conference on Computing, Communication and Green Engineering (CCGE), Sep 23-25, 2021. https://scholar.google.com/citations?user=3YOsIbAAAAAJ&hl=en",Google Scholar link :,https://orcid.org/0000-0003-3654-9540,https://www.elsevier.com/solutions/scopus/research-and-development/request-a-consultation/thank-you
Dr. Vikrant Devidas Gaikwad,https://mitwpu.edu.in/faculty/vikrant-devidas-gaikwad,Associate Professor,"Dr. Vikrant Devidas Gaikwad is a distinguished academic leader with over 26 years of experience in advancing educational excellence and institutional growth. As Dean–Academics at Dr. Vishwanath Karad MIT World Peace University, he has consistently demonstrated exceptional leadership in formulating academic strategies, enhancing staff productivity, and driving institutional reforms aligned with the university’s vision and mission. With a proven record of establishing and stabilizing academic operations in compliance with regulatory requirements, Dr. Gaikwad has significantly contributed to curriculum development, policy formulation, and quality assurance measures. He is widely recognized for his reformist approach and commitment to educational innovation, ensuring that quality education reaches students from all backgrounds. Dr. Gaikwad actively fosters a culture of open communication and intellectual growth, mentoring students and faculty alike. His focus on developing research-oriented environments and promoting industry–institute partnerships has helped nurture an undergraduate research culture and strengthen practical learning outcomes. Deeply committed to academic excellence, Dr. Gaikwad has played a pivotal role in enhancing educational processes through technology integration, innovative teaching methodologies, and the continuous development of academic programs across disciplines. His visionary leadership and emphasis on holistic student development continue to shape the university’s academic landscape. Education : PhD in Chemcial Engineering from Savitribai Phule Pune University",,,,,
Dr. Anu Nair,https://mitwpu.edu.in/faculty/anu-nair,,"Dr. Anu Nair is an Assistant Professor in the Department of Media and Communication at MIT WPU. She has more than 11 years of experience in academics and over 2 years of industry experience. She holds a doctoral degree in the field of Advertising along with a masters degree in Media management from DAVV, Indore. She has published and presented several papers at national and international conferences. At MIT-WPU, she teaches courses like Advertising and PR, Ad Production and Strategies, Media Psychology.",,,,,
